time,value,place,location,device
2024-04-26 08:46:00,1382.5,office,ac_outdoor_unit,gems-3500
2024-04-26 08:48:00,1383.5,office,ac_outdoor_unit,gems-3500
2024-04-26 08:50:00,1383.0,office,ac_outdoor_unit,gems-3500
2024-04-26 08:52:00,1384.5,office,ac_outdoor_unit,gems-3500
2024-04-26 08:54:00,1383.0,office,ac_outdoor_unit,gems-3500
2024-04-26 08:56:00,1383.0,office,ac_outdoor_unit,gems-3500
2024-04-26 08:58:00,1380.0,office,ac_outdoor_unit,gems-3500
2024-04-26 09:00:00,1383.0,office,ac_outdoor_unit,gems-3500
2024-04-26 09:02:00,1380.0,office,ac_outdoor_unit,gems-3500
2024-04-26 09:04:00,1381.5,office,ac_outdoor_unit,gems-3500
2024-04-26 09:06:00,1380.5,office,ac_outdoor_unit,gems-3500
2024-04-26 09:08:00,1380.0,office,ac_outdoor_unit,gems-3500
2024-04-26 09:10:00,1257.5,office,ac_outdoor_unit,gems-3500
2024-04-26 09:12:00,1135.0,office,ac_outdoor_unit,gems-3500
2024-04-26 09:14:00,1135.0,office,ac_outdoor_unit,gems-3500
2024-04-26 09:16:00,1133.5,office,ac_outdoor_unit,gems-3500
2024-04-26 09:18:00,1134.0,office,ac_outdoor_unit,gems-3500
2024-04-26 09:20:00,1134.0,office,ac_outdoor_unit,gems-3500
2024-04-26 09:22:00,1134.0,office,ac_outdoor_unit,gems-3500
2024-04-26 09:24:00,1134.0,office,ac_outdoor_unit,gems-3500
2024-04-26 09:26:00,1135.0,office,ac_outdoor_unit,gems-3500
2024-04-26 09:28:00,1136.5,office,ac_outdoor_unit,gems-3500
2024-04-26 09:30:00,1137.0,office,ac_outdoor_unit,gems-3500
2024-04-26 09:32:00,1135.5,office,ac_outdoor_unit,gems-3500
2024-04-26 09:34:00,1135.5,office,ac_outdoor_unit,gems-3500
2024-04-26 09:36:00,1135.5,office,ac_outdoor_unit,gems-3500
2024-04-26 09:38:00,1136.5,office,ac_outdoor_unit,gems-3500
2024-04-26 09:40:00,1134.5,office,ac_outdoor_unit,gems-3500
2024-04-26 09:42:00,1135.0,office,ac_outdoor_unit,gems-3500
2024-04-26 09:44:00,1136.0,office,ac_outdoor_unit,gems-3500
2024-04-26 09:46:00,1136.5,office,ac_outdoor_unit,gems-3500
2024-04-26 09:48:00,1138.0,office,ac_outdoor_unit,gems-3500
2024-04-26 09:50:00,1135.5,office,ac_outdoor_unit,gems-3500
2024-04-26 09:52:00,1136.5,office,ac_outdoor_unit,gems-3500
2024-04-26 09:54:00,1138.0,office,ac_outdoor_unit,gems-3500
2024-04-26 09:56:00,1138.0,office,ac_outdoor_unit,gems-3500
2024-04-26 09:58:00,1137.0,office,ac_outdoor_unit,gems-3500
2024-04-26 10:00:00,1135.0,office,ac_outdoor_unit,gems-3500
2024-04-26 10:02:00,1135.5,office,ac_outdoor_unit,gems-3500
2024-04-26 10:04:00,1135.0,office,ac_outdoor_unit,gems-3500
2024-04-26 10:06:00,1138.0,office,ac_outdoor_unit,gems-3500
2024-04-26 10:08:00,1136.5,office,ac_outdoor_unit,gems-3500
2024-04-26 10:10:00,1138.0,office,ac_outdoor_unit,gems-3500
2024-04-26 10:12:00,1138.0,office,ac_outdoor_unit,gems-3500
2024-04-26 10:14:00,1136.5,office,ac_outdoor_unit,gems-3500
2024-04-26 10:16:00,1138.0,office,ac_outdoor_unit,gems-3500
2024-04-26 10:18:00,1136.5,office,ac_outdoor_unit,gems-3500
2024-04-26 10:20:00,1135.0,office,ac_outdoor_unit,gems-3500
2024-04-26 10:22:00,1135.5,office,ac_outdoor_unit,gems-3500
2024-04-26 10:24:00,1135.0,office,ac_outdoor_unit,gems-3500
2024-04-26 10:26:00,1136.5,office,ac_outdoor_unit,gems-3500
2024-04-26 10:28:00,1135.0,office,ac_outdoor_unit,gems-3500
2024-04-26 10:30:00,1136.5,office,ac_outdoor_unit,gems-3500
2024-04-26 10:32:00,1136.5,office,ac_outdoor_unit,gems-3500
2024-04-26 10:34:00,1137.5,office,ac_outdoor_unit,gems-3500
2024-04-26 10:36:00,1136.0,office,ac_outdoor_unit,gems-3500
2024-04-26 10:38:00,1136.0,office,ac_outdoor_unit,gems-3500
2024-04-26 10:40:00,1135.5,office,ac_outdoor_unit,gems-3500
2024-04-26 10:42:00,1135.5,office,ac_outdoor_unit,gems-3500
2024-04-26 10:44:00,1135.0,office,ac_outdoor_unit,gems-3500
2024-04-26 10:46:00,1138.0,office,ac_outdoor_unit,gems-3500
2024-04-26 10:48:00,1138.0,office,ac_outdoor_unit,gems-3500
2024-04-26 10:50:00,1135.5,office,ac_outdoor_unit,gems-3500
2024-04-26 10:52:00,1136.5,office,ac_outdoor_unit,gems-3500
2024-04-26 10:54:00,1136.5,office,ac_outdoor_unit,gems-3500
2024-04-26 10:56:00,1140.0,office,ac_outdoor_unit,gems-3500
2024-04-26 10:58:00,1138.0,office,ac_outdoor_unit,gems-3500
2024-04-26 11:00:00,1139.0,office,ac_outdoor_unit,gems-3500
2024-04-26 11:02:00,1136.5,office,ac_outdoor_unit,gems-3500
2024-04-26 11:04:00,1136.5,office,ac_outdoor_unit,gems-3500
2024-04-26 11:06:00,1136.5,office,ac_outdoor_unit,gems-3500
2024-04-26 11:08:00,1136.0,office,ac_outdoor_unit,gems-3500
2024-04-26 11:10:00,1137.5,office,ac_outdoor_unit,gems-3500
2024-04-26 11:12:00,1137.5,office,ac_outdoor_unit,gems-3500
2024-04-26 11:14:00,1137.5,office,ac_outdoor_unit,gems-3500
2024-04-26 11:16:00,1136.0,office,ac_outdoor_unit,gems-3500
2024-04-26 11:18:00,1137.5,office,ac_outdoor_unit,gems-3500
2024-04-26 11:20:00,1135.0,office,ac_outdoor_unit,gems-3500
2024-04-26 11:22:00,1135.5,office,ac_outdoor_unit,gems-3500
2024-04-26 11:24:00,1136.0,office,ac_outdoor_unit,gems-3500
2024-04-26 11:26:00,1136.0,office,ac_outdoor_unit,gems-3500
2024-04-26 11:28:00,1136.5,office,ac_outdoor_unit,gems-3500
2024-04-26 11:30:00,1137.5,office,ac_outdoor_unit,gems-3500
2024-04-26 11:32:00,1137.5,office,ac_outdoor_unit,gems-3500
2024-04-26 11:34:00,1136.5,office,ac_outdoor_unit,gems-3500
2024-04-26 11:36:00,1136.0,office,ac_outdoor_unit,gems-3500
2024-04-26 11:38:00,1137.0,office,ac_outdoor_unit,gems-3500
2024-04-26 11:40:00,1137.5,office,ac_outdoor_unit,gems-3500
2024-04-26 11:42:00,1136.0,office,ac_outdoor_unit,gems-3500
2024-04-26 11:44:00,1137.0,office,ac_outdoor_unit,gems-3500
2024-04-26 11:46:00,1135.0,office,ac_outdoor_unit,gems-3500
2024-04-26 11:48:00,1137.5,office,ac_outdoor_unit,gems-3500
2024-04-26 11:50:00,1136.0,office,ac_outdoor_unit,gems-3500
2024-04-26 11:52:00,1134.5,office,ac_outdoor_unit,gems-3500
2024-04-26 11:54:00,1136.0,office,ac_outdoor_unit,gems-3500
2024-04-26 11:56:00,1136.0,office,ac_outdoor_unit,gems-3500
2024-04-26 11:58:00,1136.5,office,ac_outdoor_unit,gems-3500
2024-04-26 12:00:00,1139.0,office,ac_outdoor_unit,gems-3500
2024-04-26 12:02:00,1136.0,office,ac_outdoor_unit,gems-3500
2024-04-26 12:04:00,1136.0,office,ac_outdoor_unit,gems-3500
2024-04-26 12:06:00,1136.5,office,ac_outdoor_unit,gems-3500
2024-04-26 12:08:00,1137.5,office,ac_outdoor_unit,gems-3500
2024-04-26 12:10:00,1137.5,office,ac_outdoor_unit,gems-3500
2024-04-26 12:12:00,1137.5,office,ac_outdoor_unit,gems-3500
2024-04-26 12:14:00,1137.0,office,ac_outdoor_unit,gems-3500
2024-04-26 12:16:00,1137.5,office,ac_outdoor_unit,gems-3500
2024-04-26 12:18:00,1136.0,office,ac_outdoor_unit,gems-3500
2024-04-26 12:20:00,1137.0,office,ac_outdoor_unit,gems-3500
2024-04-26 12:22:00,1137.0,office,ac_outdoor_unit,gems-3500
2024-04-26 12:24:00,1137.5,office,ac_outdoor_unit,gems-3500
2024-04-26 12:26:00,1140.0,office,ac_outdoor_unit,gems-3500
2024-04-26 12:28:00,1139.5,office,ac_outdoor_unit,gems-3500
2024-04-26 12:30:00,1137.0,office,ac_outdoor_unit,gems-3500
2024-04-26 12:32:00,1137.0,office,ac_outdoor_unit,gems-3500
2024-04-26 12:34:00,1139.0,office,ac_outdoor_unit,gems-3500
2024-04-26 12:36:00,1138.0,office,ac_outdoor_unit,gems-3500
2024-04-26 12:38:00,1137.0,office,ac_outdoor_unit,gems-3500
2024-04-26 12:40:00,1136.0,office,ac_outdoor_unit,gems-3500
2024-04-26 12:42:00,1139.0,office,ac_outdoor_unit,gems-3500
2024-04-26 12:44:00,1139.0,office,ac_outdoor_unit,gems-3500
2024-04-26 12:46:00,1138.5,office,ac_outdoor_unit,gems-3500
2024-04-26 12:48:00,1138.0,office,ac_outdoor_unit,gems-3500
2024-04-26 12:50:00,1138.0,office,ac_outdoor_unit,gems-3500
2024-04-26 12:52:00,1140.0,office,ac_outdoor_unit,gems-3500
2024-04-26 12:54:00,1139.0,office,ac_outdoor_unit,gems-3500
2024-04-26 12:56:00,1142.5,office,ac_outdoor_unit,gems-3500
2024-04-26 12:58:00,1143.5,office,ac_outdoor_unit,gems-3500
2024-04-26 13:00:00,1141.0,office,ac_outdoor_unit,gems-3500
2024-04-26 13:02:00,1141.0,office,ac_outdoor_unit,gems-3500
2024-04-26 13:04:00,1142.0,office,ac_outdoor_unit,gems-3500
2024-04-26 13:06:00,1142.0,office,ac_outdoor_unit,gems-3500
2024-04-26 13:08:00,1140.5,office,ac_outdoor_unit,gems-3500
2024-04-26 13:10:00,1141.0,office,ac_outdoor_unit,gems-3500
2024-04-26 13:12:00,1141.0,office,ac_outdoor_unit,gems-3500
2024-04-26 13:14:00,1141.5,office,ac_outdoor_unit,gems-3500
2024-04-26 13:16:00,1143.0,office,ac_outdoor_unit,gems-3500
2024-04-26 13:18:00,1140.0,office,ac_outdoor_unit,gems-3500
2024-04-26 13:20:00,1140.0,office,ac_outdoor_unit,gems-3500
2024-04-26 13:22:00,1141.0,office,ac_outdoor_unit,gems-3500
2024-04-26 13:24:00,1141.0,office,ac_outdoor_unit,gems-3500
2024-04-26 13:26:00,1140.0,office,ac_outdoor_unit,gems-3500
2024-04-26 13:28:00,1140.0,office,ac_outdoor_unit,gems-3500
2024-04-26 13:30:00,1140.0,office,ac_outdoor_unit,gems-3500
2024-04-26 13:32:00,1140.0,office,ac_outdoor_unit,gems-3500
2024-04-26 13:34:00,1141.0,office,ac_outdoor_unit,gems-3500
2024-04-26 13:36:00,1141.5,office,ac_outdoor_unit,gems-3500
2024-04-26 13:38:00,1140.0,office,ac_outdoor_unit,gems-3500
2024-04-26 13:40:00,1139.5,office,ac_outdoor_unit,gems-3500
2024-04-26 13:42:00,1139.5,office,ac_outdoor_unit,gems-3500
2024-04-26 13:44:00,1136.5,office,ac_outdoor_unit,gems-3500
2024-04-26 13:46:00,1137.0,office,ac_outdoor_unit,gems-3500
2024-04-26 13:48:00,1138.5,office,ac_outdoor_unit,gems-3500
2024-04-26 13:50:00,1137.0,office,ac_outdoor_unit,gems-3500
2024-04-26 13:52:00,1137.5,office,ac_outdoor_unit,gems-3500
2024-04-26 13:54:00,1135.0,office,ac_outdoor_unit,gems-3500
2024-04-26 13:56:00,1135.0,office,ac_outdoor_unit,gems-3500
2024-04-26 13:58:00,1136.5,office,ac_outdoor_unit,gems-3500
2024-04-26 14:00:00,1137.5,office,ac_outdoor_unit,gems-3500
2024-04-26 14:02:00,1134.5,office,ac_outdoor_unit,gems-3500
2024-04-26 14:04:00,1136.5,office,ac_outdoor_unit,gems-3500
2024-04-26 14:06:00,1135.0,office,ac_outdoor_unit,gems-3500
2024-04-26 14:08:00,1136.5,office,ac_outdoor_unit,gems-3500
2024-04-26 14:10:00,1135.0,office,ac_outdoor_unit,gems-3500
2024-04-26 14:12:00,1136.0,office,ac_outdoor_unit,gems-3500
2024-04-26 14:14:00,1139.0,office,ac_outdoor_unit,gems-3500
2024-04-26 14:16:00,1138.0,office,ac_outdoor_unit,gems-3500
2024-04-26 14:18:00,1138.0,office,ac_outdoor_unit,gems-3500
2024-04-26 14:20:00,1137.0,office,ac_outdoor_unit,gems-3500
2024-04-26 14:22:00,1137.0,office,ac_outdoor_unit,gems-3500
2024-04-26 14:24:00,1137.0,office,ac_outdoor_unit,gems-3500
2024-04-26 14:26:00,1134.5,office,ac_outdoor_unit,gems-3500
2024-04-26 14:28:00,1137.5,office,ac_outdoor_unit,gems-3500
2024-04-26 14:30:00,1139.0,office,ac_outdoor_unit,gems-3500
2024-04-26 14:32:00,1137.5,office,ac_outdoor_unit,gems-3500
2024-04-26 14:34:00,1136.5,office,ac_outdoor_unit,gems-3500
2024-04-26 14:36:00,1137.5,office,ac_outdoor_unit,gems-3500
2024-04-26 14:38:00,1137.0,office,ac_outdoor_unit,gems-3500
2024-04-26 14:40:00,1137.5,office,ac_outdoor_unit,gems-3500
2024-04-26 14:42:00,1137.0,office,ac_outdoor_unit,gems-3500
2024-04-26 14:44:00,1138.5,office,ac_outdoor_unit,gems-3500
2024-04-26 14:46:00,1138.5,office,ac_outdoor_unit,gems-3500
2024-04-26 14:48:00,1137.5,office,ac_outdoor_unit,gems-3500
2024-04-26 14:50:00,1138.0,office,ac_outdoor_unit,gems-3500
2024-04-26 14:52:00,1137.5,office,ac_outdoor_unit,gems-3500
2024-04-26 14:54:00,1139.0,office,ac_outdoor_unit,gems-3500
2024-04-26 14:56:00,1138.0,office,ac_outdoor_unit,gems-3500
2024-04-26 14:58:00,1139.0,office,ac_outdoor_unit,gems-3500
2024-04-26 15:00:00,1140.0,office,ac_outdoor_unit,gems-3500
2024-04-26 15:02:00,1140.0,office,ac_outdoor_unit,gems-3500
2024-04-26 15:04:00,1139.0,office,ac_outdoor_unit,gems-3500
2024-04-26 15:06:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 15:08:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 15:10:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 15:12:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 15:14:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 15:16:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 15:18:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 15:20:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 15:22:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 15:24:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 15:26:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 15:28:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 15:30:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 15:32:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 15:34:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 15:36:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 15:38:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 15:40:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 15:42:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 15:44:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 15:46:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 15:48:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 15:50:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 15:52:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 15:54:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 15:56:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 15:58:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 16:00:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 16:02:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 16:04:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 16:06:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 16:08:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 16:10:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 16:12:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 16:14:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 16:16:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 16:18:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 16:20:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 16:22:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 16:24:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 16:26:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 16:28:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 16:30:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 16:32:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 16:34:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 16:36:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 16:38:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 16:40:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 16:42:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 16:44:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 16:46:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 16:48:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 16:50:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 16:52:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 16:54:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 16:56:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 16:58:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 17:00:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 17:02:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 17:04:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 17:06:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 17:08:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 17:10:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 17:12:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 17:14:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 17:16:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 17:18:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 17:20:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 17:22:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 17:24:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 17:26:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 17:28:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 17:30:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 17:32:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 17:34:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 17:36:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 17:38:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 17:40:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 17:42:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 17:44:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 17:46:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 17:48:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 17:50:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 17:52:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 17:54:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 17:56:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 17:58:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 18:00:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 18:02:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 18:04:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 18:06:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 18:08:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 18:10:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 18:12:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 18:14:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 18:16:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 18:18:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 18:20:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 18:22:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 18:24:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 18:26:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 18:28:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 18:30:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 18:32:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 18:34:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 18:36:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 18:38:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 18:40:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 18:42:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 18:44:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 18:46:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 18:48:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 18:50:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 18:52:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 18:54:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 18:56:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 18:58:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 19:00:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 19:02:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 19:04:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 19:06:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 19:08:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 19:10:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 19:12:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 19:14:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 19:16:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 19:18:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 19:20:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 19:22:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 19:24:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 19:26:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 19:28:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 19:30:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 19:32:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 19:34:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 19:36:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 19:38:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 19:40:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 19:42:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 19:44:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 19:46:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 19:48:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 19:50:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 19:52:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 19:54:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 19:56:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 19:58:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 20:00:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 20:02:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 20:04:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 20:06:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 20:08:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 20:10:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 20:12:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 20:14:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 20:16:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 20:18:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 20:20:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 20:22:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 20:24:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 20:26:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 20:28:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 20:30:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 20:32:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 20:34:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 20:36:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 20:38:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 20:40:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 20:42:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 20:44:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 20:46:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 20:48:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 20:50:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 20:52:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 20:54:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 20:56:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 20:58:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 21:00:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 21:02:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 21:04:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 21:06:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 21:08:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 21:10:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 21:12:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 21:14:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 21:16:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 21:18:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 21:20:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 21:22:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 21:24:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 21:26:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 21:28:00,0.0,office,ac_outdoor_unit,gems-3500
2024-04-26 21:30:00,0.0,office,ac_outdoor_unit,gems-3500
